,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
86,307,Jake Gleeson,POR,GK,110000.0,115166.67,21,0,1818,0,0,0,0,0.0,60.0,0.1,0,6.37
87,225,Jesse Gonzalez,DAL,GK,85000.0,94375.0,29,0,2610,0,0,4,0,0.0,66.5,0.1,0,6.61
88,320,Alan Gordon,COL,F,180000.0,180000.0,6,20,818,3,3,4,1,0.9,71.9,1.4,0,6.26
89,167,Julian Gressel,ATL,M,75000.0,93750.0,24,8,2050,5,9,4,0,1.1,72.2,0.5,1,6.73
90,176,Carlos Gruezo,DAL,M,495000.0,731500.0,30,1,2614,0,3,6,1,0.7,85.7,0.6,0,6.71
91,217,Marlon Hairston,COL,D,110004.0,110004.0,29,5,2605,3,4,2,0,0.4,80.7,0.7,1,6.62
92,99,Bill Hamid,DC,GK,350000.0,395500.0,24,0,2160,0,0,0,0,0.0,49.1,0.2,2,6.89
93,266,Ian Harkes,DC,M,90000.0,123237.5,22,3,1949,2,1,2,0,1.0,82.7,0.7,0,6.51
94,187,Atiba Harris,DAL,M,155004.0,155004.0,21,8,2021,2,1,7,0,0.3,81.9,2.2,0,6.69
95,49,Jack Harrison,NYCFC,M,130000.0,165500.0,33,1,2757,10,3,3,1,1.9,75.7,0.3,3,7.03
96,230,Jordan Harvey,VAN,D,180000.0,180000.0,28,0,2510,1,1,3,0,0.3,77.0,0.6,0,6.6
97,57,Matt Hedges,DAL,D,399996.0,424996.0,27,0,2425,2,0,7,0,0.9,84.5,1.9,1,7.01
98,74,Yangel Herrera,NYCFC,M,123557.04,123557.04,14,4,1223,1,2,6,1,1.1,81.1,1.7,2,6.95
99,211,Cristian Higuita,ORL,M,150000.0,150000.0,18,8,1555,0,2,9,0,0.5,87.6,0.7,0,6.64
100,177,Danny Hoesen,SJ,F,425004.0,503129.0,20,12,1839,5,5,1,0,2.2,70.9,1.0,1,6.71
101,280,Ryan Hollingshead,DAL,M,132500.0,132500.0,9,9,822,0,0,0,0,0.9,78.0,0.9,0,6.46
102,219,Tim Howard,COL,GK,2000000.0,2475000.0,25,0,2250,0,0,1,0,0.0,63.3,0.2,3,6.62
103,160,Jahmir Hyka,SJ,M,470004.0,520004.0,21,9,1871,3,3,0,0,1.5,86.9,0.2,1,6.74
104,275,Miguel Ibarra,MNUFC,M,290004.0,322326.0,20,9,1760,3,3,2,0,0.8,84.8,0.4,0,6.48
105,215,Anthony Jackson-Hamel,MTL,F,66150.0,66150.0,11,10,1137,9,3,0,0,1.5,67.0,1.0,0,6.63
106,143,Andrew Jacobson,VAN,M,150000.0,175000.0,19,2,1704,2,2,2,0,0.6,73.3,1.9,0,6.8
107,322,Adam Jahn,CLB,F,92500.0,92500.0,1,20,316,1,1,3,0,0.4,64.6,1.2,0,6.18
108,297,Bradford Jamieson,LA,F,66150.0,66150.0,11,13,985,3,1,2,0,0.3,76.8,0.5,0,6.4
109,250,Jared Jeffrey,DC,M,105000.0,115000.0,19,4,1619,1,0,4,0,0.6,78.5,0.3,0,6.55
110,168,Sean Johnson,NYCFC,GK,220008.0,220008.0,32,0,2880,0,0,2,0,0.0,68.1,0.2,1,6.73
111,96,Will Johnson,ORL,M,414000.0,450000.0,23,3,2057,2,3,6,0,1.2,83.5,0.8,2,6.9
112,130,Jermaine Jones,LA,M,600000.0,722500.2,19,1,1589,1,4,8,1,1.1,79.6,2.5,0,6.82
113,71,Joevin Jones,SEA,D,90000.0,96166.67,28,2,2451,1,9,3,1,0.9,84.7,0.4,0,6.96
114,308,Kenwyne Jones,ATL,F,390000.0,413333.33,5,12,500,2,0,0,0,0.6,65.5,1.8,0,6.36
115,60,Florian Jungwirth,SJ,D,450000.0,516667.07,30,0,2600,2,3,4,0,0.4,82.6,1.1,2,6.99
116,235,Brent Kallman,MNUFC,D,65004.0,68295.67,23,0,1942,2,0,7,0,0.4,82.4,1.9,1,6.6
117,32,Kei Kamara,NE,F,800000.0,800000.0,27,4,2366,12,4,4,0,2.8,73.7,2.6,4,7.13
118,44,Ola Kamara,CLB,F,450000.0,482500.0,33,1,2868,18,3,0,0,2.6,75.0,1.5,3,7.05
