,R1,R2,Name1,Name2,Club1,Club2,Pos1,Pos2,BaseSalary1,BaseSalary2,Compensation1,Compensation2,Apps1,Apps2,SubApps1,SubApps2,Mins1,Mins2,Goals1,Goals2,Assists1,Assists2,Yel1,Yel2,Red1,Red2,SpG1,SpG2,PS1,PS2,AerialsWon1,AerialsWon2,MotM1,MotM2,Rating1,Rating2
44,65,171,Kevin Doyle,Kevin Doyle,COL,COL,F,F,1075000.0,1000000.0,1120000.0,1045000.0,24,23,2,2,2182,1966,6,5,2,3,5,5,0,0,2.8,2.2,72.5,71.9,3.0,2.2,3,1,6.95,6.72
45,137,175,Chris Duvall,Chris Duvall,NYRB,MTL,D,D,63000.0,70875.0,63000.0,70875.0,20,25,5,2,1889,2210,0,1,1,2,4,5,1,1,0.4,0.4,72.2,81.8,1.0,0.9,1,1,6.78,6.71
46,29,76,Roger Espinoza,Roger Espinoza,KC,KC,M,M,800000.0,850000.0,800000.0,850000.0,30,30,0,0,2681,2680,1,1,5,2,10,8,2,1,1.6,1.6,79.8,84.1,1.9,1.5,2,0,7.1,6.95
47,190,62,Diego Fagundez,Diego Fagundez,NE,NE,F,M,145000.0,160000.0,165000.0,180000.0,24,27,10,5,2240,2438,6,7,5,7,4,2,0,0,1.9,2.3,82.0,80.9,0.4,0.1,2,5,6.68,6.98
48,88,148,Andrew Farrell,Andrew Farrell,NE,NE,D,D,148500.0,182600.0,229500.0,263600.0,32,30,1,0,2891,2665,0,0,0,3,1,5,0,1,0.1,0.2,75.6,77.8,0.9,0.6,3,0,6.88,6.77
49,28,37,Benny Feilhaber,Benny Feilhaber,KC,KC,M,M,400000.0,600000.0,412187.5,600000.0,28,24,2,6,2565,2271,7,5,5,1,3,4,0,0,1.5,2.1,80.7,83.1,0.5,0.6,3,2,7.1,7.08
50,68,107,Maynor Figueroa,Maynor Figueroa,DAL,DAL,D,D,115000.0,320000.0,138333.33,343333.33,28,26,0,0,2434,2325,0,3,1,0,7,8,1,0,0.8,1.3,75.8,77.7,1.7,1.5,0,1,6.94,6.88
51,231,268,Ethan Finlay,Ethan Finlay,CLB,CLB,M,M,250000.0,290000.0,250000.0,290000.0,27,14,7,5,2494,1286,6,1,6,1,2,2,0,0,1.4,1.1,77.5,75.6,0.3,0.4,1,0,6.58,6.5
52,201,274,Sean Franklin,Sean Franklin,DC,DC,D,D,225000.0,258756.0,256666.67,283756.0,29,15,0,4,2496,1416,1,0,1,2,5,5,0,0,0.2,0.4,76.6,75.9,0.7,1.2,0,1,6.66,6.48
53,214,180,Stefan Frei,Stefan Frei,SEA,SEA,GK,GK,200000.0,250000.0,206250.0,256250.0,33,33,0,0,2970,2970,0,0,0,0,0,2,0,0,0.0,0.0,53.7,64.3,0.3,0.3,0,0,6.64,6.7
54,171,207,Boniek Garcia,Boniek Garcia,HOU,HOU,M,M,225000.0,225000.0,247500.0,247500.0,24,12,7,8,2250,1165,0,0,8,4,4,4,0,0,0.8,0.3,82.3,82.8,0.5,0.4,0,0,6.72,6.66
55,13,253,Shkelzen Gashi,Shkelzen Gashi,COL,COL,M,F,1575000.0,1575000.0,1668750.0,1668750.0,25,12,1,5,2125,1034,9,2,3,1,4,1,0,0,3.5,1.5,75.7,77.1,0.9,0.4,4,1,7.22,6.54
56,1,2,Sebastian Giovinco,Sebastian Giovinco,TOR,TOR,F,F,5600000.0,5600000.0,7115555.67,7115555.67,28,25,0,0,2418,2061,17,16,14,6,3,4,0,0,6.3,5.1,72.5,72.3,0.1,0.0,10,6,7.76,7.51
57,119,80,Justen Glad,Justen Glad,RSL,RSL,D,D,100000.0,225000.0,111000.0,246700.0,27,18,1,0,2424,1620,2,0,1,0,4,2,0,0,0.1,0.6,84.0,84.3,1.0,2.4,0,1,6.83,6.94
58,69,307,Jake Gleeson,Jake Gleeson,POR,POR,GK,GK,91556.0,110000.0,96722.67,115166.67,27,21,1,0,2470,1818,0,0,0,0,1,0,0,0,0.0,0.0,47.6,60.0,0.3,0.1,0,0,6.94,6.37
59,55,100,Anibal Godoy,Anibal Godoy,SJ,SJ,M,M,216000.0,229992.0,242250.0,256242.0,23,24,0,2,1941,2134,1,2,2,0,6,9,2,1,1.2,0.8,89.4,90.8,1.0,0.9,3,2,6.98,6.89
60,279,320,Alan Gordon,Alan Gordon,LA,COL,F,F,170000.0,180000.0,170000.0,180000.0,7,6,15,20,711,818,3,3,1,3,2,4,0,1,0.7,0.9,73.4,71.9,1.9,1.4,0,0,6.42,6.26
61,93,176,Carlos Gruezo,Carlos Gruezo,DAL,DAL,M,M,450000.0,495000.0,686500.0,731500.0,26,30,1,1,2240,2614,0,0,0,3,9,6,0,1,0.9,0.7,81.7,85.7,0.8,0.6,0,0,6.87,6.71
62,155,217,Marlon Hairston,Marlon Hairston,COL,COL,D,D,90000.0,110004.0,113000.0,110004.0,14,29,7,5,1274,2605,3,3,5,4,2,2,0,0,0.8,0.4,78.5,80.7,0.3,0.7,2,1,6.75,6.62
63,115,99,Bill Hamid,Bill Hamid,DC,DC,GK,GK,325000.0,350000.0,370500.0,395500.0,20,24,0,0,1800,2160,0,0,0,0,0,0,0,0,0.1,0.0,48.0,49.1,0.5,0.2,2,2,6.84,6.89
64,89,187,Atiba Harris,Atiba Harris,DAL,DAL,D,M,143000.0,155004.0,143000.0,155004.0,22,21,6,8,1971,2021,1,2,2,1,6,7,0,0,0.6,0.3,73.5,81.9,2.1,2.2,1,0,6.88,6.69
65,59,49,Jack Harrison,Jack Harrison,NYCFC,NYCFC,M,M,125000.0,130000.0,160500.0,165500.0,17,33,4,1,1604,2757,4,10,6,3,0,3,0,1,1.0,1.9,73.6,75.7,0.3,0.3,1,3,6.97,7.03
66,157,230,Jordan Harvey,Jordan Harvey,VAN,VAN,D,D,165000.0,180000.0,165000.0,180000.0,28,28,0,0,2520,2510,2,1,0,1,2,3,0,0,0.4,0.3,76.9,77.0,1.3,0.6,0,0,6.75,6.6
