R	Player	Apps	Mins	Goals	Assists	Yel	Red	SpG	PS%	AeiralsWon	MotM	Rating
131	Micheal AziraColorado Rapids, 30, DMC	28(2)	2569	-	1	8	-	0.4	82.2	1	1	6.82
132	Michael de LeeuwChicago Fire, 31, AM(CLR),FW	26(4)	2190	3	7	5	-	1.2	78.2	0.6	-	6.82
133	Yordy ReynaVancouver Whitecaps, 24, AM(C)	11(7)	1075	6	3	3	-	1.4	77	0.2	1	6.82
134	Michael BarriosFC Dallas, 26, AM(LR),FW	28(6)	2567	3	12	5	-	1.8	76.3	0.3	-	6.82
135	Walker ZimmermanFC Dallas, 24, D(C)	18(4)	1602	1	1	-	-	0.4	79	2.9	1	6.81
136	Jerome ThiessonMinnesota United, 30, D(LR)	33	2955	2	3	6	-	0.3	78.9	1.1	-	6.81
137	Roy MillerPortland Timbers, 33, D(CL)	26	2268	1	1	8	-	0.4	84.3	2	2	6.81
138	Victor CabreraMontreal Impact, 25, D(C)	18(2)	1497	-	-	6	1	0.2	82	1.1	-	6.81
139	Kofi OpareDC United, 27, D(C)	25(1)	2214	2	1	2	-	1.2	80.5	2.7	2	6.81
140	Wil TrappColumbus Crew, 25, DMC	34	3035	-	4	3	-	0.2	89.3	0.7	-	6.8
141	Alexander CallensNew York City FC, 25, D(C)	34	3060	2	-	4	-	0.4	85.9	1.3	-	6.8
142	Victor BernardezSan Jose Earthquakes, 35, D(C)	25	2229	-	1	2	2	0.5	80.9	2	-	6.8
143	Andrew JacobsonVancouver Whitecaps, 32, D(C),DMC	19(2)	1704	2	2	2	-	0.6	73.3	1.9	-	6.8
144	Jimmy MedrandaSporting Kansas City, 24, D(L),M(CLR)	24(9)	2088	2	1	2	-	1.5	81.7	0.3	1	6.8
145	ArturColumbus Crew, 22, DMC	19(5)	1704	-	3	1	-	0.8	86.3	0.3	-	6.79
146	Damien PerrinelleNew York Red Bulls, 34, D(C)	22(3)	1972	-	1	4	-	0.4	75.6	1.6	-	6.79
147	Darwin CerenSan Jose Earthquakes, 28, M(C)	19(2)	1642	-	1	2	2	0.8	86.8	0.4	-	6.77
148	Andrew FarrellNew England Rev., 26, D(CR)	30	2665	-	3	5	1	0.2	77.8	0.6	-	6.77
