,R,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AeiralsWon,MotM,Rating
,142,"Saad Abdul-SalaamSporting Kansas City, 26, D(R)",26(4),2377,-,3,1,-,0.5,79.8,1.3,1,6.77
,143,"Tony TchaniColumbus Crew, 29, M(C)",20(1),1821,1,2,8,1,1.3,83.9,1,-,6.77
,144,"Joe WillisHouston Dynamo, 29, GK",24(2),2275,-,1,2,-,-,43.3,0.2,2,6.77
,145,"Brad EvansSeattle Sounders FC, 32, D(CR),DMC,M(R)",21(2),1867,1,1,-,2,0.4,89,1.3,-,6.76
,146,"David OustedVancouver Whitecaps, 33, GK",33,2970,-,-,-,-,-,52.4,0.4,4,6.76
,147,"Ashley ColeLA Galaxy, 37, D(L)",25(1),2228,1,-,2,2,0.3,85.7,0.8,-,6.76
,148,"Demar PhillipsReal Salt Lake, 34, D(L)",23(6),2178,-,4,2,1,0.3,76.7,1.5,-,6.76
,149,"Sal ZizzoNew York Red Bulls, 31, D(CR),M(LR)",20(8),1921,-,1,2,-,0.6,74.9,1.1,-,6.76
,150,"Mohammed SaeidColumbus Crew, 27, M(CL)",24(1),2017,-,5,2,-,0.8,89.2,-,-,6.76
,151,"Jared WattsColorado Rapids, 26, D(C),DMC",18(3),1647,-,-,5,-,0.4,81.4,1.1,1,6.75
,152,"Johan KappelhofChicago Fire, 27, D(CR),DMC",31(2),2789,-,-,3,-,0.1,75.5,0.7,-,6.75
,153,"C.J. SapongPhiladelphia Union, 29, AM(LR),FW",29(2),2537,7,2,1,-,1.9,67.3,2.8,1,6.75
,154,"Tim HowardColorado Rapids, 39, GK",17,1530,-,-,1,-,-,71.1,-,1,6.75
,155,"Marlon HairstonColorado Rapids, 24, D(R),M(R)",14(7),1274,3,5,2,-,0.8,78.5,0.3,2,6.75
,156,"Andre BlakePhiladelphia Union, 27, GK",32,2880,-,-,-,-,-,55.3,0.6,-,6.75
,157,"Jordan HarveyVancouver Whitecaps, 34, D(L)",28,2520,2,-,2,-,0.4,76.9,1.3,-,6.75
,158,"Jacob PetersonSporting Kansas City, 32, M(LR)",18(3),1500,6,1,-,-,1.8,75,0.8,2,6.75
,159,"Kellyn AcostaFC Dallas, 22, D(R),DMC",24(8),2328,2,3,4,-,1.1,79.8,1,-,6.75
,160,"Steven BeitashourToronto FC, 31, D(R),M(R)",29,2563,-,-,5,-,0.1,76.1,0.5,-,6.74
,161,"Richie MarquezPhiladelphia Union, 25, D(C)",33,2970,2,-,4,-,0.3,75.2,2,1,6.74
,162,"Nat BorchersPortland Timbers, 37, D(C)",21,1814,1,1,1,-,0.2,81.8,1.6,-,6.74
,163,"Lawrence OlumSporting Kansas City, 33, D(C),DMC",17(2),1469,2,1,3,-,0.5,82,1.5,-,6.74
,164,"John Stiven MendozaNew York City FC, 25, AM(CLR)",10(14),1169,5,-,1,-,1.9,75.7,0.1,-,6.74
,165,"Luis RoblesNew York Red Bulls, 33, GK",34,3060,-,-,3,-,-,56.5,0.2,-,6.73
,166,"Chris TierneyNew England Rev., 32, D(L)",27(1),2321,2,2,1,-,0.7,73.3,0.5,1,6.73
,167,"Josh SaundersNew York City FC, 37, GK",33,3000,-,-,4,-,-,74,0.3,-,6.73
,168,"Tim ParkerVancouver Whitecaps, 25, D(CR)",28(1),2551,-,-,1,-,0.4,77.4,2.5,-,6.73
,169,"Jared JeffreyDC United, 27, DMC",14(7),1314,2,-,5,-,1.1,81.8,0.4,-,6.72
,170,"Simon DawkinsSan Jose Earthquakes, 30, AM(CLR),FW",28(1),2408,5,-,3,1,2.2,82.5,0.3,2,6.72
,171,"Óscar Boniek GarcíaHouston Dynamo, 33, D(R),M(CLR)",24(7),2250,-,8,4,-,0.8,82.3,0.5,-,6.72
,172,"Ike OparaSporting Kansas City, 29, D(C)",16(9),1544,1,2,3,1,0.6,78.2,1.6,-,6.72
,173,"Emmanuel BoatengLA Galaxy, 24, AM(L)",17(9),1547,2,5,1,-,0.8,75.6,0.2,1,6.71
,174,"Alex MuylNew York Red Bulls, 22, AM(CLR)",18(9),1600,2,3,5,-,1.1,71.7,1.2,-,6.71
,175,"Andoni IraolaNew York City FC, 35, D(R),M(CR)",25(4),2211,-,1,3,-,0.1,86.7,0.6,-,6.71
,176,"Sean DavisNew York Red Bulls, 25, M(CR)",11(10),1108,2,2,-,-,0.6,82.6,0.4,2,6.71
,177,"Kemar LawrenceNew York Red Bulls, 25, D(CL)",21,1801,-,-,3,-,0.3,67.4,1.2,-,6.71
,178,"Nick RimandoReal Salt Lake, 38, GK",30,2700,-,-,1,-,-,57.6,0.2,1,6.71
,179,"Tony BeltranReal Salt Lake, 30, D(R)",27(2),2468,-,2,9,-,0.2,76.2,1,-,6.71
,180,"A.J. DeLaGarzaLA Galaxy, 30, D(CLR)",23(1),2064,-,-,5,-,0.1,84.4,0.7,-,6.71
,181,"Shaun FrancisSan Jose Earthquakes, 31, D(LR)",17(1),1525,-,-,4,-,0.3,74.9,0.9,-,6.7
,182,"Wil TrappColumbus Crew, 25, DMC",29(1),2573,-,-,5,-,0.3,88.1,0.8,-,6.7
,183,"Andrew WengerHouston Dynamo, 27, M(LR),FW",24(8),2064,6,2,3,-,1.4,66.4,1.2,2,6.7
,184,"Yura MovsisyanReal Salt Lake, 30, FW",25(4),2166,9,3,3,-,2.3,66.7,0.4,1,6.7
,185,"Dominic OduroMontreal Impact, 32, AM(R),FW",22(9),2031,6,6,2,-,1.1,77.2,0.6,-,6.69
,186,"Je-Vaughn WatsonNew England Rev., 34, D(CLR),M(CR)",19(4),1705,1,1,3,1,0.5,80.6,0.6,-,6.69
,187,"Khiry SheltonNew York City FC, 24, AM(R),FW",13(9),1160,4,6,-,-,0.8,72.7,1.4,-,6.69
,188,"Andrew JacobsonVancouver Whitecaps, 32, D(C),DMC",18(8),1751,2,-,4,-,0.6,82,1.2,1,6.69
,189,"London WoodberryNew England Rev., 26, D(CR)",23(2),2070,1,-,7,-,0.2,79.6,0.7,1,6.69
,190,"Diego FagundezNew England Rev., 23, AM(CLR)",24(10),2240,6,5,4,-,1.9,82,0.4,2,6.68
,191,"David HorstHouston Dynamo, 32, D(C)",24(2),2212,3,-,4,-,0.8,74,1.8,-,6.68
,192,"Joevin JonesSeattle Sounders FC, 26, D(L),M(L)",29(4),2547,2,3,6,-,0.5,83.8,0.3,1,6.68
,193,"Sean JohnsonChicago Fire, 28, GK",22,1980,-,-,-,-,-,53.3,0.5,-,6.68
,194,"Khaly ThiamChicago Fire, 24, DMC",15(5),1286,1,-,3,1,1.1,76.9,2.2,-,6.68
,195,"Fraser AirdVancouver Whitecaps, 23, D(R)",16(2),1455,-,-,3,1,0.3,73.5,0.3,-,6.68
,196,"Marco PappaColorado Rapids, 30, AM(LR)",10(10),896,2,3,2,-,1.5,80.8,-,1,6.68
,197,"Clint IrwinToronto FC, 29, GK",19,1690,-,-,1,-,-,49.5,0.4,1,6.67
,198,"Sebastien Le TouxPhiladelphia Union, 34, AM(CLR),FW",13(8),1207,2,5,2,-,0.7,72.1,0.6,-,6.67
,199,"Eric MillerColorado Rapids, 25, D(CLR)",23(3),2118,-,-,3,1,0.3,76.9,1.3,-,6.67
,200,"Joao MeiraChicago Fire, 30, D(C),DMC",26(2),2284,-,-,6,-,0.2,85.1,1.5,-,6.67
,201,"Sean FranklinDC United, 33, D(R),M(R)",29,2496,1,1,5,-,0.2,76.6,0.7,-,6.66
,202,"Federico BravoNew York City FC, 24, M(C)",11(10),1096,-,-,8,1,0.3,78.3,1.7,-,6.66
,203,"Quincy AmarikwaSan Jose Earthquakes, 30, FW",22(1),1699,3,2,-,-,2.2,68,1.1,2,6.66
,204,"Jordan SmithVancouver Whitecaps, 26, D(R)",15(2),1269,-,-,2,1,0.3,72.4,0.9,-,6.66
,205,"Nick DeLeonDC United, 27, D(LR),M(CLR)",27(5),2509,1,-,5,-,1.1,84.6,0.5,-,6.66
,206,"Jonathan OsorioToronto FC, 25, AM(CLR)",26(4),2441,2,2,2,-,0.8,87,0.1,-,6.66
,207,"Brek SheaOrlando City, 28, D(L),M(L)",22(5),2004,3,2,9,-,1,74.1,0.9,-,6.66
,208,"David MateosOrlando City, 30, D(C)",20(1),1760,-,-,8,1,0.4,83.9,1.7,1,6.65
,209,"Scott CaldwellNew England Rev., 27, DMC",31(1),2623,-,2,6,-,0.3,86.8,0.3,-,6.65
,210,"Dillon PowersColorado Rapids, 27, M(CL)",24(5),2122,1,4,4,-,1.2,82.4,0.6,-,6.65
,211,"Chris SeitzFC Dallas, 31, GK",28,2520,-,-,1,-,-,59.3,0.3,-,6.65
,212,"Kennedy IgboananikeChicago Fire, 29, AM(L),FW",18,1519,4,1,2,-,2.7,79.2,0.7,-,6.65
,213,"Joshua YaroPhiladelphia Union, 23, D(C)",15(2),1329,-,-,1,2,-,85.6,0.8,-,6.64
,214,"Stefan FreiSeattle Sounders FC, 31, GK",33,2970,-,-,-,-,-,53.7,0.3,-,6.64
,215,"Lucas MelanoPortland Timbers, 25, AM(LR),FW",27(4),2269,3,5,1,-,1.4,75.1,0.3,-,6.64
,216,"José GonçalvesNew England Rev., 32, D(C)",28,2520,-,-,3,-,0.1,76.6,1.5,-,6.64
,217,"Brian CarrollPhiladelphia Union, 36, DMC",23(3),2094,1,-,6,-,0.5,82.2,0.5,-,6.64
,218,"Marco DonadelMontreal Impact, 34, M(C)",18(3),1515,-,3,5,-,0.4,82,0.8,-,6.63
,219,"Fatai AlasheSan Jose Earthquakes, 24, D(C),DMC",27(1),2336,3,1,8,-,0.7,81.5,0.6,2,6.62
,220,"Dominique BadjiColorado Rapids, 25, AM(LR),FW",17(10),1573,6,2,5,-,1.7,72.8,1.3,1,6.62
,221,"Tyrone MearsSeattle Sounders FC, 35, D(R)",32,2836,-,1,3,-,0.1,82.1,0.9,-,6.62
,222,"Mike MageeLA Galaxy, 33, AM(CLR),FW",16(14),1469,6,2,1,-,1.1,82.7,0.1,1,6.62
,223,"IlsinhoPhiladelphia Union, 32, AM(CR)",14(11),1286,2,2,2,1,1.2,77.9,0.4,1,6.6
,224,"Luke MulhollandReal Salt Lake, 29, DMC",23(10),2028,4,2,7,-,1.3,79.8,0.6,-,6.6
,225,"Jay ChapmanToronto FC, 24, AM(C)",9(9),783,-,2,1,-,0.7,78.9,0.9,-,6.6
,226,"Jason HernandezNew York City FC, 34, D(CR)",26(5),2293,-,-,1,1,-,83.5,0.9,-,6.59
